Date,Winner,WeightClass,Gender,Finish,RedFighter,BlueFighter,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAge,BlueAge,FinishRound,TotalFightTimeSecs,RedAvgSigStrLanded,BlueAvgSigStrLanded,RedAvgTDLanded,BlueAvgTDLanded,RedOdds,BlueOdds,Year,WinnerHeight,WinnerReach,WinnerAvgStrikes,WinnerAvgTD,WinnerAge,WinnerAgeDiff,BettingResult
,Red,Lightweight,MALE,U-DEC,Chris Duncan,Yanal Ashmouz,178,175,180,173,30,28,3.0,900.0,4.88,3.08,3.85,0.92,-1400.0,1200.0,,178,180,4.88,3.85,30,2,Favorite
,Blue,Women's Strawweight,FEMALE,U-DEC,Shauna Bannon,Bruna Brasil,165,168,165,165,29,29,3.0,900.0,4.37,2.94,0.0,1.93,1250.0,-1450.0,,168,165,2.94,1.93,29,0,Favorite
,Red,Flyweight,MALE,SUB,Jafel Filho,Daniel Barez,170,168,173,168,30,34,1.0,206.0,2.36,3.8,1.77,4.07,-1100.0,-1100.0,,170,173,2.36,1.77,30,-4,PickEm
,Red,Welterweight,MALE,S-DEC,Jack Della Maddalena,Bassil Hafez,180,180,185,183,26,31,3.0,900.0,6.74,4.23,0.21,0.3,-5900.0,4300.0,,180,185,6.74,0.21,26,-5,Favorite
,Blue,Lightweight,MALE,KO/TKO,Ottman Azaitar,Francisco Prado,173,178,180,175,33,21,1.0,245.0,5.73,4.58,0.0,0.0,-1040.0,-1120.0,,178,175,4.58,0.0,21,-12,Favorite
,Blue,Middleweight,MALE,SUB,Albert Duraev,JunYong Park,180,178,190,185,34,32,2.0,585.0,2.99,4.53,1.97,1.83,1300.0,-1540.0,,178,185,4.53,1.83,32,-2,Favorite
,Red,Women's Featherweight,FEMALE,U-DEC,Norma Dumont,Chelsea Chandler,170,173,170,173,32,32,3.0,900.0,3.11,3.53,1.91,0.91,-1420.0,1200.0,,170,170,3.11,1.91,32,0,Favorite
,Red,Lightweight,MALE,SUB,Nazim Sadykhov,Terrance McKinney,178,178,175,185,29,28,2.0,367.0,4.94,4.53,1.71,3.45,-1620.0,1360.0,,178,175,4.94,1.71,29,1,Favorite
,Blue,Featherweight,MALE,U-DEC,Tucker Lutz,Melsik Baghdasaryan,173,175,183,178,29,31,3.0,900.0,3.74,5.28,1.99,0.0,1260.0,-1480.0,,175,178,5.28,0.0,31,2,Favorite
,Red,Women's Strawweight,FEMALE,KO/TKO,Viktoriia Dudakova,Istela Nunes,165,163,170,168,24,30,1.0,34.0,3.45,5.02,2.63,0.0,-2000.0,1680.0,,165,170,3.45,2.63,24,-6,Favorite
,Blue,Featherweight,MALE,U-DEC,Austin Lingo,Melquizael Costa,178,178,178,180,29,26,3.0,900.0,3.86,3.46,0.43,0.25,1880.0,-2250.0,,178,180,3.46,0.25,26,-3,Favorite
,Red,Lightweight,MALE,U-DEC,Evan Elder,Genaro Valdez,178,175,183,183,26,31,3.0,900.0,5.02,4.08,0.63,1.54,-3000.0,2450.0,,178,183,5.02,0.63,26,-5,Favorite
,Blue,Flyweight,MALE,S-DEC,Tyson Nam,Azat Maksum,170,170,173,178,39,28,3.0,900.0,3.87,2.8,0.0,0.2,3200.0,-4050.0,,170,178,2.8,0.2,28,-11,Favorite
,Red,Lightweight,MALE,U-DEC,Alexander Munoz,Carl Deaton,175,170,183,175,33,33,3.0,900.0,3.7,1.53,0.3,0.0,-2100.0,1760.0,,175,183,3.7,0.3,33,0,Favorite
,Blue,Women's Bantamweight,FEMALE,U-DEC,Ashlee Evans-Smith,Ailin Perez,173,165,170,168,36,28,3.0,900.0,4.03,2.91,0.95,5.19,2100.0,-2550.0,,165,168,2.91,5.19,28,-8,Favorite
2023-08-07,Red,Featherweight,MALE,KO/TKO,Alexander Volkanovski,Yair Rodriguez,168,180,180,180,34,30,3.0,859.0,6.16,4.65,1.78,0.69,,,2023.0,168,180,6.16,1.78,34,4,Unknown
2023-08-07,Blue,Flyweight,MALE,S-DEC,Brandon Moreno,Alexandre Pantoja,170,165,178,170,29,33,5.0,1500.0,3.87,4.41,1.74,2.61,,,2023.0,165,170,4.41,2.61,33,4,Unknown
2023-08-07,Blue,Middleweight,MALE,KO/TKO,Robert Whittaker,Dricus Du Plessis,183,185,185,193,32,29,2.0,443.0,4.58,6.18,0.08,3.04,,,2023.0,185,193,6.18,3.04,29,-3,Unknown
2023-08-07,Blue,Lightweight,MALE,S-DEC,Jalin Turner,Dan Hooker,190,183,196,190,28,33,3.0,900.0,5.6,5.03,0.79,0.73,,,2023.0,183,190,5.03,0.73,33,5,Unknown
2023-08-07,Red,Middleweight,MALE,KO/TKO,Bo Nickal,Val Woodburn,185,173,193,188,27,29,1.0,38.0,1.64,1.6,7.46,1.92,,,2023.0,185,193,1.64,7.46,27,-2,Unknown
2023-08-07,Red,Welterweight,MALE,KO/TKO,Robbie Lawler,Niko Price,180,183,188,193,41,33,1.0,38.0,3.85,5.65,0.65,1.15,,,2023.0,180,188,3.85,0.65,41,8,Unknown
2023-08-07,Blue,Women's Strawweight,FEMALE,KO/TKO,Yazmin Jauregui,Denise Gomes,160,157,163,160,24,23,1.0,20.0,6.26,4.48,0.0,0.88,,,2023.0,157,160,4.48,0.88,23,-1,Unknown
2023-08-07,Blue,Light Heavyweight,MALE,SUB,Jimmy Crute,Alonzo Menifield,188,183,188,193,27,35,2.0,415.0,3.68,3.77,4.84,0.63,,,2023.0,183,193,3.77,0.63,35,8,Unknown
2023-08-07,Red,Light Heavyweight,MALE,SUB,Vitor Petrino,Marcin Prachnio,188,190,196,188,25,34,3.0,822.0,2.82,5.57,3.98,0.15,-2700.0,2200.0,2023.0,188,196,2.82,3.98,25,-9,Favorite
2023-08-07,Red,Bantamweight,MALE,KO/TKO,Cameron Saaiman,Terrence Mitchell,173,178,170,188,22,33,1.0,190.0,5.32,2.21,0.91,3.69,-6200.0,4600.0,2023.0,173,170,5.32,0.91,22,-11,Favorite
2023-08-07,Blue,Flyweight,MALE,KO/TKO,Shannon Ross,Jesus Aguilar,168,163,168,157,34,27,1.0,17.0,5.96,1.46,0.0,1.75,1280.0,-1520.0,2023.0,163,157,1.46,1.75,27,-7,Favorite
2023-08-07,Blue,Lightweight,MALE,U-DEC,Kamuela Kirk,Esteban Ribovics,178,178,190,175,29,27,3.0,900.0,3.22,6.2,0.15,0.93,1400.0,-1800.0,2023.0,178,175,6.2,0.93,27,-2,Favorite
2023-01-07,Red,Middleweight,MALE,KO/TKO,Sean Strickland,Abus Magomedov,185,188,193,198,32,32,2.0,560.0,6.01,2.88,0.78,2.65,-1620.0,1360.0,2023.0,185,193,6.01,0.78,32,0,Favorite
2023-01-07,Blue,Lightweight,MALE,U-DEC,Damir Ismagulov,Grant Dawson,178,178,188,183,32,29,3.0,900.0,3.36,2.98,0.1,3.61,-1160.0,-1020.0,2023.0,178,183,2.98,3.61,29,-3,Underdog
2023-01-07,Blue,Welterweight,MALE,U-DEC,Max Griffin,Michael Morales,180,183,193,201,37,24,3.0,900.0,3.92,5.42,1.45,1.16,2050.0,-2500.0,2023.0,183,201,5.42,1.16,24,-13,Favorite
2023-01-07,Red,Women's Flyweight,FEMALE,S-DEC,Ariane da Silva,Melissa Gatto,168,165,170,175,29,27,3.0,900.0,4.1,3.78,0.56,1.47,,-2300.0,2023.0,168,170,4.1,0.56,29,2,Unknown
2023-01-07,Blue,Lightweight,MALE,SUB,Ismael Bonfim,Benoit Saint Denis,173,180,180,185,27,27,1.0,288.0,5.8,5.7,1.07,4.76,,,2023.0,180,185,5.7,4.76,27,0,Unknown
2023-01-07,Blue,Middleweight,MALE,KO/TKO,Brunno Ferreira,Nursulton Ruziboev,178,196,183,193,30,29,1.0,77.0,4.99,2.5,0.89,0.77,,,2023.0,196,193,2.5,0.77,29,-1,Unknown
2023-01-07,Blue,Welterweight,MALE,SUB,Kevin Lee,Rinat Fakhretdinov,175,183,196,188,30,31,1.0,55.0,3.88,4.17,3.18,4.43,,,2023.0,183,188,4.17,4.43,31,1,Unknown
2023-01-07,Red,Featherweight,MALE,KO/TKO,Joanderson Brito,Westin Wilson,173,185,183,185,28,34,1.0,174.0,3.35,1.68,3.11,1.68,,,2023.0,173,183,3.35,3.11,28,-6,Unknown
2023-01-07,Blue,Women's Featherweight,FEMALE,S-DEC,Yana Santos,Karol Rosa,168,165,173,170,33,28,3.0,900.0,4.42,6.49,0.97,0.12,,,2023.0,165,170,6.49,0.12,28,-5,Unknown
2023-01-07,Blue,Lightweight,MALE,KO/TKO,Guram Kutateladze,Elves Brener,180,178,183,183,31,25,3.0,797.0,3.95,3.99,0.77,1.23,,,2023.0,178,183,3.99,1.23,25,-6,Unknown
2023-01-07,Blue,Women's Flyweight,FEMALE,U-DEC,Ivana Petrovic,Luana Carolina,173,168,178,175,29,30,3.0,900.0,2.19,4.81,2.83,0.34,,,2023.0,168,175,4.81,0.34,30,1,Unknown
2023-01-07,Red,Heavyweight,MALE,U-DEC,Alexandr Romanov,Blagoy Ivanov,188,180,190,185,32,36,3.0,900.0,3.94,3.25,4.17,0.69,,,2023.0,188,190,3.94,4.17,32,-4,Unknown
,Blue,Featherweight,MALE,U-DEC,Josh Emmett,Ilia Topuria,168,170,178,175,38,26,5.0,1500.0,4.04,4.4,0.91,1.92,3100.0,-3900.0,,170,175,4.4,1.92,26,-12,Favorite
,Blue,Women's Flyweight,FEMALE,KO/TKO,Amanda Ribas,Maycee Barber,160,165,168,165,29,25,2.0,522.0,4.63,4.7,2.07,1.44,-2000.0,1680.0,,165,165,4.7,1.44,25,-4,Underdog
,Red,Featherweight,MALE,KO/TKO,David Onama,Gabriel Santos,180,175,188,178,29,26,2.0,553.0,5.04,4.46,0.67,4.34,1880.0,-2250.0,,180,188,5.04,0.67,29,3,Underdog
,Red,Middleweight,MALE,SUB,Brendan Allen,Bruno Silva,188,183,190,188,27,33,1.0,279.0,3.98,4.12,1.74,0.93,-2250.0,1880.0,,188,190,3.98,1.74,27,-6,Favorite
,Red,Welterweight,MALE,S-DEC,Neil Magny,Phil Rowe,190,190,203,203,35,32,3.0,900.0,3.44,3.65,2.15,0.07,-1720.0,1440.0,,190,203,3.44,2.15,35,3,Favorite
,Red,Welterweight,MALE,U-DEC,Randy Brown,Wellington Turman,190,183,198,183,32,26,3.0,900.0,4.38,3.23,0.72,1.55,-2600.0,1960.0,,190,198,4.38,0.72,32,6,Favorite
,Red,Lightweight,MALE,KO/TKO,Mateusz Rebecki,Loik Radzhabov,170,180,168,175,30,32,2.0,456.0,4.69,2.89,4.12,4.65,-1300.0,1080.0,,170,168,4.69,4.12,30,-2,Favorite
,Red,Women's Strawweight,FEMALE,U-DEC,Tabatha Ricci,Gillian Robertson,155,165,155,160,28,28,3.0,900.0,4.63,2.83,2.99,2.48,-1380.0,1080.0,,155,155,4.63,2.99,28,0,Favorite
,Blue,Flyweight,MALE,S-DEC,Zhalgas Zhumagulov,Joshua Van,163,165,168,165,34,21,3.0,900.0,5.24,8.55,0.13,0.12,-2000.0,1680.0,,165,165,8.55,0.12,21,-13,Underdog
,Blue,Lightweight,MALE,U-DEC,Trevor Peek,Chepe Mariscal,175,170,178,175,28,30,3.0,900.0,4.58,4.75,1.82,3.09,-2750.0,1320.0,,170,175,4.75,3.09,30,2,Underdog
,Blue,Featherweight,MALE,S-DEC,Jamall Emmers,Jack Jenkins,178,170,188,173,33,29,3.0,900.0,5.3,4.83,1.83,2.12,-2000.0,1680.0,,170,173,4.83,2.12,29,-4,Underdog
,Blue,Middleweight,MALE,U-DEC,Cody Brundage,Sedriques Dumas,183,188,183,201,29,27,3.0,900.0,1.62,2.15,2.31,1.31,-1640.0,1800.0,,188,201,2.15,1.31,27,-2,Underdog
,Blue,Middleweight,MALE,U-DEC,Marvin Vettori,Jared Cannonier,183,180,188,196,29,39,5.0,1500.0,4.56,4.49,1.66,0.42,-1240.0,1060.0,,180,196,4.49,0.42,39,10,Underdog
,Red,Lightweight,MALE,KO/TKO,Arman Tsarukyan,Joaquim Silva,170,173,183,175,26,34,3.0,805.0,3.79,3.66,3.25,0.39,-12000.0,7500.0,,170,183,3.79,3.25,26,-8,Favorite
,Red,Middleweight,MALE,U-DEC,Armen Petrosyan,Christian Leroy Duncan,190,188,180,201,32,27,3.0,900.0,5.69,4.71,0.22,0.31,1320.0,-1560.0,,190,180,5.69,0.22,32,5,Underdog
,Red,Featherweight,MALE,SUB,Pat Sabatini,Lucas Almeida,173,180,178,180,32,32,2.0,408.0,2.02,4.94,3.73,0.0,-1900.0,1600.0,,173,178,2.02,3.73,32,0,Favorite
,Red,Lightweight,MALE,KO/TKO,Manuel Torres,Nikolas Motta,178,175,185,178,28,30,1.0,110.0,8.14,3.08,3.26,0.0,-1900.0,1600.0,,178,185,8.14,3.26,28,-2,Favorite
,Red,Welterweight,MALE,U-DEC,Nicolas Dalby,Muslim Salikhov,180,180,188,178,38,39,3.0,900.0,4.06,3.32,1.01,1.12,,,,180,188,4.06,1.01,38,-1,Unknown
,Blue,Flyweight,MALE,KO/TKO,Jimmy Flick,Alessandro Costa,170,163,173,170,32,27,2.0,363.0,1.94,4.14,1.55,0.27,2350.0,-2900.0,,163,170,4.14,0.27,27,-5,Favorite
,Red,Bantamweight,MALE,SUB,Kyung Ho Kang,Cristian Quinonez,175,173,185,178,35,27,1.0,145.0,3.13,4.19,1.97,1.37,1220.0,-1440.0,,175,185,3.13,1.97,35,8,Underdog
,Red,Flyweight,MALE,U-DEC,Carlos Hernandez,Denys Bondar,173,168,170,175,29,30,3.0,899.0,4.11,4.59,1.08,3.99,1200.0,-1420.0,,173,170,4.11,1.08,29,-1,Underdog
,Red,Women's Flyweight,FEMALE,U-DEC,Tereza Bleda,Gabriella Fernandes,175,168,180,168,21,29,3.0,900.0,3.02,3.73,1.81,0.67,-2350.0,1940.0,,175,180,3.02,1.81,21,-8,Favorite
,Blue,Light Heavyweight,MALE,U-DEC,Zac Pauga,Modestas Bukauskas,188,190,193,198,35,29,3.0,900.0,4.46,3.21,0.38,0.38,1660.0,-1980.0,,190,198,3.21,0.38,29,-6,Favorite
2023-10-06,Red,Women's Bantamweight,FEMALE,U-DEC,Amanda Nunes,Irene Aldana,173,175,175,173,35,35,5.0,1500.0,4.55,5.24,2.73,0.16,-3350.0,2700.0,2023.0,173,175,4.55,2.73,35,0,Favorite
2023-10-06,Red,Lightweight,MALE,KO/TKO,Charles Oliveira,Beneil Dariush,178,178,188,183,33,34,1.0,250.0,3.39,3.78,2.17,0.19,,,2023.0,178,188,3.39,2.17,33,-1,Unknown
2023-10-06,Red,Welterweight,MALE,SUB,Mike Malott,Adam Fugitt,185,185,185,196,31,34,2.0,366.0,3.83,4.72,3.04,2.04,-2200.0,1840.0,2023.0,185,185,3.83,3.04,31,-3,Favorite
2023-10-06,Red,Featherweight,MALE,U-DEC,Dan Ige,Nate Landwehr,170,175,180,183,31,35,3.0,900.0,3.7,6.25,0.99,0.1,-2700.0,2200.0,2023.0,170,180,3.7,0.99,31,-4,Favorite
2023-10-06,Red,Middleweight,MALE,U-DEC,Marc-Andre Barriault,Eryk Anders,185,185,188,190,33,36,3.0,900.0,6.12,3.41,0.21,1.79,-1580.0,1340.0,2023.0,185,188,6.12,0.21,33,-3,Favorite
2023-10-06,Blue,Women's Flyweight,FEMALE,U-DEC,Miranda Maverick,Jasmine Jasudavicius,160,170,165,173,25,34,3.0,900.0,3.59,3.79,2.43,2.39,-2350.0,1940.0,2023.0,170,173,3.79,2.39,34,9,Underdog
2023-10-06,Red,Bantamweight,MALE,KO/TKO,Aiemann Zahabi,Aoriqileng,173,170,173,175,35,29,1.0,64.0,3.43,5.31,0.02,1.45,1060.0,-1240.0,2023.0,173,173,3.43,0.02,35,6,Underdog
2023-10-06,Red,Featherweight,MALE,U-DEC,Kyle Nelson,Blake Bilder,180,173,180,173,32,32,3.0,900.0,3.65,3.81,0.11,0.31,2250.0,-2750.0,2023.0,180,180,3.65,0.11,32,0,Underdog
2023-10-06,Blue,Flyweight,MALE,U-DEC,David Dvorak,Steve Erceg,165,173,173,173,31,27,3.0,900.0,3.48,4.37,0.58,1.16,-3000.0,2450.0,2023.0,173,173,4.37,1.16,27,-4,Underdog
2023-10-06,Red,Women's Strawweight,FEMALE,U-DEC,Diana Belbita,Maria Oliveira,170,168,173,175,26,26,3.0,900.0,6.54,5.03,0.91,0.95,-1460.0,1140.0,2023.0,170,173,6.54,0.91,26,0,Favorite
2023-03-06,Blue,Flyweight,MALE,S-DEC,Kai Kara-France,Amir Albazi,163,165,175,173,30,29,5.0,1500.0,4.56,2.8,0.61,1.71,-1020.0,-1160.0,2023.0,165,173,2.8,1.71,29,-1,Favorite
2023-03-06,Red,Featherweight,MALE,U-DEC,Alex Caceres,Daniel Pineda,178,170,185,175,34,37,3.0,900.0,4.21,2.96,0.54,1.61,-1800.0,1520.0,2023.0,178,185,4.21,0.54,34,-3,Favorite
2023-03-06,Red,Lightweight,MALE,KO/TKO,Jim Miller,Jesse Butler,173,178,180,185,39,31,1.0,23.0,2.99,2.02,1.53,0.0,-2550.0,2100.0,2023.0,173,180,2.99,1.53,39,8,Favorite
2023-03-06,Red,Flyweight,MALE,U-DEC,Tim Elliott,Victor Altamirano,170,173,168,178,36,32,3.0,900.0,3.39,4.55,3.73,3.43,-1740.0,1460.0,2023.0,170,168,3.39,3.73,36,4,Favorite
2023-03-06,Red,Women's Flyweight,FEMALE,SUB,Karine Silva,Ketlen Souza,165,160,170,160,29,28,1.0,105.0,2.67,4.78,3.59,0.09,-2150.0,1800.0,2023.0,165,170,2.67,3.59,29,1,Favorite
2023-03-06,Blue,Welterweight,MALE,S-DEC,Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,180,180,183,185,33,36,3.0,900.0,2.78,4.3,1.25,0.71,-1200.0,1020.0,2023.0,180,185,4.3,0.71,36,3,Underdog
2023-03-06,Red,Bantamweight,MALE,U-DEC,Daniel Santos,Johnny Munoz,170,175,170,180,28,30,3.0,900.0,4.26,2.44,0.19,0.24,-2250.0,1880.0,2023.0,170,170,4.26,0.19,28,-2,Favorite
2023-03-06,Blue,Heavyweight,MALE,KO/TKO,Andrei Arlovski,Don'Tale Mayes,190,198,196,206,44,31,2.0,497.0,3.82,3.51,0.37,0.65,1160.0,-1360.0,2023.0,198,206,3.51,0.65,31,-13,Favorite
2023-03-06,Red,Bantamweight,MALE,U-DEC,John Castaneda,Muin Gafurov,168,170,180,173,31,27,3.0,900.0,4.67,3.03,1.79,1.95,-1650.0,1080.0,2023.0,168,180,4.67,1.79,31,4,Favorite
2023-03-06,Blue,Lightweight,MALE,KO/TKO,Jamie Mullarkey,Muhammad Naimov,183,175,188,178,28,28,2.0,479.0,4.39,3.18,2.31,0.18,2600.0,3600.0,2023.0,175,178,3.18,0.18,28,0,Underdog
2023-03-06,Red,Women's Strawweight,FEMALE,U-DEC,Elise Reed,Jinh Yu Frey,160,160,160,165,30,38,3.0,900.0,2.66,2.97,0.58,1.02,-1320.0,1120.0,2023.0,160,160,2.66,0.58,30,-8,Favorite
2023-03-06,Red,Bantamweight,MALE,KO/TKO,Da'Mon Blackshear,Luan Lacerda,178,170,183,180,28,30,2.0,534.0,4.28,4.52,2.33,1.26,1320.0,-1560.0,2023.0,178,183,4.28,2.33,28,-2,Underdog
2023-03-06,Red,Light Heavyweight,MALE,U-DEC,Philipe Lins,Maxim Grishin,188,190,198,198,37,39,3.0,900.0,3.8,3.26,1.65,0.21,1040.0,-1220.0,2023.0,188,198,3.8,1.65,37,-2,Underdog
,Red,Women's Strawweight,FEMALE,U-DEC,Mackenzie Dern,Angela Hill,163,160,160,163,30,38,5.0,1500.0,3.43,5.46,0.88,0.76,-1620.0,1360.0,,163,160,3.43,0.88,30,-8,Favorite
,Blue,Middleweight,MALE,KO/TKO,Edmen Shahbazyan,Anthony Hernandez,190,183,190,190,25,29,3.0,661.0,3.77,4.3,2.01,6.62,1840.0,-2200.0,,183,190,4.3,6.62,29,4,Favorite
,Blue,Welterweight,MALE,KO/TKO,Andre Fialho,Joaquin Buckley,183,178,188,193,29,29,2.0,555.0,3.3,4.25,0.25,1.69,1940.0,-2350.0,,178,193,4.25,1.69,29,0,Favorite
,Red,Lightweight,MALE,KO/TKO,Diego Ferreira,Michael Johnson,175,178,188,185,38,36,2.0,410.0,5.04,4.27,0.96,0.62,-1460.0,1240.0,,175,188,5.04,0.96,38,2,Favorite
,Blue,Lightweight,MALE,KO/TKO,Maheshate,Viacheslav Borshchev,183,180,180,175,23,31,2.0,457.0,3.9,5.4,0.0,0.0,1400.0,-1660.0,,180,175,5.4,0.0,31,8,Favorite
,Red,Women's Strawweight,FEMALE,U-DEC,Karolina Kowalkiewicz,Vanessa Demopoulos,160,157,163,150,37,34,3.0,900.0,5.71,3.98,0.34,0.42,-1440.0,1220.0,,160,163,5.71,0.34,37,3,Favorite
,Blue,Welterweight,MALE,KO/TKO,Orion Cosce,Gilbert Urbina,180,190,180,190,28,27,2.0,475.0,2.77,5.61,1.92,3.01,1060.0,-1240.0,,190,190,5.61,3.01,27,-1,Favorite
,Blue,Heavyweight,MALE,S-DEC,Ilir Latifi,Rodrigo Nascimento,178,188,185,203,40,30,3.0,900.0,2.05,4.05,2.11,1.23,1660.0,-1980.0,,188,203,4.05,1.23,30,-10,Favorite
,Red,Lightweight,MALE,U-DEC,Chase Hooper,Nick Fiore,185,178,188,183,23,25,3.0,900.0,5.08,2.83,1.45,0.25,1020.0,-1200.0,,185,188,5.08,1.45,23,-2,Underdog
,Red,Women's Flyweight,FEMALE,KO/TKO,Natalia Silva,Victoria Leonardo,163,165,165,163,26,33,1.0,178.0,4.53,3.22,0.05,1.57,-12000.0,6300.0,,163,165,4.53,0.05,26,-7,Favorite
,Blue,Welterweight,MALE,U-DEC,Takashi Sato,Themba Gorimbo,178,185,185,196,32,32,3.0,900.0,2.21,2.53,0.76,4.04,1200.0,-1420.0,,185,196,2.53,4.04,32,0,Favorite
,Blue,Heavyweight,MALE,SUB,Jairzinho Rozenstruik,Jailton Almeida,188,190,198,201,35,31,1.0,223.0,3.75,2.46,0.0,6.85,3900.0,-5100.0,,190,201,2.46,6.85,31,-4,Favorite
,Blue,Light Heavyweight,MALE,U-DEC,Anthony Smith,Johnny Walker,193,198,193,208,34,31,3.0,900.0,3.24,3.87,0.46,0.45,-1020.0,-1160.0,,198,208,3.87,0.45,31,-3,Favorite
,Blue,Welterweight,MALE,KO/TKO,Daniel Rodriguez,Ian Machado Garry,185,190,188,188,36,25,1.0,177.0,7.42,5.5,0.55,0.77,2450.0,-3000.0,,190,188,5.5,0.77,25,-11,Favorite
,Red,Light Heavyweight,MALE,KO/TKO,Carlos Ulberg,Ihor Potieria,193,190,196,190,32,26,1.0,129.0,7.41,5.13,0.95,0.0,-4900.0,3800.0,,193,196,7.41,0.95,32,6,Favorite
,Blue,Welterweight,MALE,SUB,Tim Means,Alex Morono,188,180,190,183,39,32,2.0,429.0,5.08,4.96,1.16,0.36,1840.0,-2200.0,,180,183,4.96,0.36,32,-7,Favorite
,Red,Welterweight,MALE,KO/TKO,Matt Brown,Court McGee,183,180,190,190,42,38,1.0,249.0,3.76,4.6,1.68,1.84,1900.0,-2300.0,,183,190,3.76,1.68,42,4,Underdog
,Red,Heavyweight,MALE,U-DEC,Karl Williams,Chase Sherman,190,193,201,198,33,33,3.0,900.0,2.68,6.04,0.42,0.09,-4200.0,3300.0,,190,201,2.68,0.42,33,0,Favorite
,Blue,Women's Flyweight,FEMALE,S-DEC,Ji Yeon Kim,Mandy Bohm,170,170,183,180,33,33,3.0,715.0,5.37,2.51,0.0,0.72,-2400.0,1980.0,,170,180,2.51,0.72,33,0,Underdog
,Red,Welterweight,MALE,KO/TKO,Bryan Battle,Gabe Green,185,178,196,185,28,30,1.0,14.0,4.52,6.28,1.12,0.83,1080.0,-1360.0,,185,196,4.52,1.12,28,-2,Underdog
,Blue,Women's Bantamweight,FEMALE,SUB,Jessica-Rose Clark,Tainara Lisboa,165,170,163,170,35,32,3.0,860.0,3.73,2.05,1.66,2.05,-1020.0,-1160.0,,170,170,2.05,2.05,32,-3,Favorite
2023-06-05,Red,Bantamweight,MALE,S-DEC,Aljamain Sterling,Henry Cejudo,170,163,180,163,33,36,5.0,1500.0,4.61,3.77,2.31,1.99,-1200.0,1000.0,2023.0,170,180,4.61,2.31,33,-3,Favorite
2023-06-05,Red,Welterweight,MALE,U-DEC,Belal Muhammad,Gilbert Burns,180,178,183,180,34,36,5.0,1500.0,4.39,3.29,2.28,2.24,1280.0,-1520.0,2023.0,180,183,4.39,2.28,34,-2,Underdog
2023-06-05,Blue,Women's Strawweight,FEMALE,KO/TKO,Jessica Andrade,Yan Xiaonan,155,165,157,160,31,33,1.0,140.0,6.62,4.97,2.37,0.1,-1800.0,,2023.0,165,160,4.97,0.1,33,2,Unknown
2023-06-05,Red,Featherweight,MALE,U-DEC,Movsar Evloev,Diego Lopes,170,180,183,183,29,28,3.0,900.0,4.43,3.24,4.75,0.33,-10000.0,6600.0,2023.0,170,183,4.43,4.75,29,1,Favorite
2023-06-05,Blue,Featherweight,MALE,U-DEC,Kron Gracie,Charles Jourdain,175,175,178,175,34,27,3.0,900.0,3.74,5.48,0.47,0.35,1420.0,-1680.0,2023.0,175,175,5.48,0.35,27,-7,Favorite
2023-06-05,Blue,Lightweight,MALE,KO/TKO,Drew Dober,Matt Frevola,173,175,178,180,34,32,1.0,248.0,4.39,3.71,0.67,2.59,-2250.0,1880.0,2023.0,175,180,3.71,2.59,32,-2,Underdog
2023-06-05,Red,Light Heavyweight,MALE,SUB,Kennedy Nzechukwu,Devin Clark,196,183,211,190,30,33,2.0,448.0,5.13,3.03,0.06,2.17,-1840.0,1540.0,2023.0,196,211,5.13,0.06,30,-3,Favorite
2023-06-05,Red,Welterweight,MALE,S-DEC,Khaos Williams,Rolando Bedoya,183,180,196,188,29,26,3.0,900.0,5.81,7.29,0.0,0.0,-4500.0,3400.0,2023.0,183,196,5.81,0.0,29,3,Favorite
2023-06-05,Blue,Women's Strawweight,FEMALE,U-DEC,Marina Rodriguez,Virna Jandiroba,168,160,165,163,36,34,3.0,900.0,4.82,2.12,0.23,2.29,-1200.0,1020.0,2023.0,160,163,2.12,2.29,34,-2,Underdog
2023-06-05,Blue,Heavyweight,MALE,KO/TKO,Braxton Smith,Parker Porter,180,183,183,190,33,38,1.0,130.0,6.46,6.55,0.0,1.35,1480.0,-1760.0,2023.0,183,190,6.55,1.35,38,5,Favorite
2023-06-05,Blue,Middleweight,MALE,KO/TKO,Phil Hawes,Ikram Aliskerov,183,183,196,193,34,30,1.0,130.0,5.33,7.03,2.11,1.82,1600.0,-1900.0,2023.0,183,193,7.03,1.82,30,-4,Favorite
2023-06-05,Blue,Middleweight,MALE,KO/TKO,Joseph Holmes,Claudio Ribeiro,193,185,203,196,27,30,2.0,501.0,2.88,3.59,1.49,0.56,1360.0,-1620.0,2023.0,185,196,3.59,0.56,30,3,Favorite
,Red,Bantamweight,MALE,KO/TKO,Song Yadong,Ricky Simon,173,168,170,175,25,30,5.0,1270.0,4.49,2.99,0.66,0.52,1220.0,-1440.0,,173,170,4.49,0.66,25,-5,Underdog
,Red,Middleweight,MALE,SUB,Caio Borralho,Michal Oleksiejczuk,185,183,190,188,30,28,2.0,469.0,3.61,5.08,1.56,1.08,-3900.0,3100.0,,185,190,3.61,1.56,30,2,Favorite
,Red,Middleweight,MALE,SUB,Rodolfo Vieira,Cody Brundage,183,183,185,183,33,28,2.0,388.0,3.19,1.62,4.18,2.31,-2500.0,2050.0,,183,185,3.19,4.18,33,5,Favorite
